objeto_sql,tipo,operacion,archivo,linea,dependencia_funcional_previa,dependencia_sql_declarada,prioridad,origen_obligatorio,estado
usuarios_por_almacen,view,lectura,content/produccion/stock/confirmacion_movimiento_almacen/buscar.php,39,Consulta de UI/servicio en content/produccion/stock/confirmacion_movimiento_almacen/buscar.php,View invocada explicitamente por Factory::getArrayFromView,STOCK_MATERIALES,spiral,confirmado por codigo
usuarios_por_almacen,view,lectura,content/produccion/stock_mp/confirmacion_movimiento_almacen/buscar.php,42,Consulta de UI/servicio en content/produccion/stock_mp/confirmacion_movimiento_almacen/buscar.php,View invocada explicitamente por Factory::getArrayFromView,STOCK_MATERIALES,spiral,confirmado por codigo
almacenes_por_seccion_v,view,lectura,factory/Mapper.php,4252,Mapper::AlmacenPorSeccion (uso indirecto en Produccion),Lectura directa desde mapper,REPORTES,spiral,confirmado por codigo
materias_primas_v,view,lectura,factory/Mapper.php,5654,ColorMateriaPrima via getListObject en content/produccion/compras/ordenes_compra/generacion/agregar.php:129,Lectura directa desde mapper,REPORTES,spiral,confirmado por codigo
movimientos_stock_mp_v,view,lectura,content/produccion/stock_mp/movimientos/buscar.php,45,Consulta de UI/servicio en content/produccion/stock_mp/movimientos/buscar.php,View invocada explicitamente por Factory::getArrayFromView,REPORTES,spiral,confirmado por codigo
movimientos_stock_mp_v,view,lectura,content/produccion/stock_mp/movimientos/buscar.php,57,Consulta de UI/servicio en content/produccion/stock_mp/movimientos/buscar.php,View invocada explicitamente por Factory::getArrayFromView,REPORTES,spiral,confirmado por codigo
movimientos_stock_v,view,lectura,content/produccion/stock/movimientos/buscar.php,46,Consulta de UI/servicio en content/produccion/stock/movimientos/buscar.php,View invocada explicitamente por Factory::getArrayFromView,REPORTES,spiral,confirmado por codigo
movimientos_stock_v,view,lectura,content/produccion/stock/movimientos/buscar.php,58,Consulta de UI/servicio en content/produccion/stock/movimientos/buscar.php,View invocada explicitamente por Factory::getArrayFromView,REPORTES,spiral,confirmado por codigo
ordenes_compra_cabecera_v,view,lectura,factory/Mapper.php,10703,OrdenDeCompra via getListObject en content/produccion/compras/ordenes_compra/pendiente/buscar.php:63,Lectura directa desde mapper,REPORTES,spiral,confirmado por codigo
Ordenes_compra_detalle_v,view,lectura,factory/Mapper.php,10768,OrdenDeCompraItem via getListObject en content/produccion/compras/ordenes_compra/descontar_pendiente/buscar.php:58,Lectura directa desde mapper,REPORTES,spiral,confirmado por codigo
programacion_empaque_v,view,lectura,content/produccion/reportes/programacion_empaque/buscar.php,41,Consulta de UI/servicio en content/produccion/reportes/programacion_empaque/buscar.php,View invocada explicitamente por Factory::getArrayFromView,REPORTES,spiral,confirmado por codigo
Proveedores_materias_primas_v,view,lectura,factory/Mapper.php,12164,ProveedorMateriaPrima via getListObject en content/produccion/compras/ordenes_compra/generacion/agregar.php:113,Lectura directa desde mapper,REPORTES,spiral,confirmado por codigo
stock_mp_vw,view,lectura,content/produccion/stock_mp/consumos/buscar.php,73,Consulta de UI/servicio en content/produccion/stock_mp/consumos/buscar.php,View invocada explicitamente por Factory::getArrayFromView,REPORTES,spiral,confirmado por codigo
stock_mp_vw,view,lectura,content/produccion/stock_mp/movimiento_almacen/buscar.php,73,Consulta de UI/servicio en content/produccion/stock_mp/movimiento_almacen/buscar.php,View invocada explicitamente por Factory::getArrayFromView,REPORTES,spiral,confirmado por codigo
tareas_cabecera_v,view,lectura,factory/Mapper.php,13899,TareaProduccion via getListObject en clases/OrdenDeFabricacion.php:163,Lectura directa desde mapper,REPORTES,spiral,confirmado por codigo
tareas_detalle_v,view,lectura,factory/Mapper.php,13974,TareaProduccionItem via getListObject en content/produccion/gestion_produccion/confirmacion/buscar.php:63,Lectura directa desde mapper,REPORTES,spiral,confirmado por codigo
usuarios_por_seccion_v,view,lectura,factory/Mapper.php,14790,Mapper::UsuarioPorSeccionProduccion (uso indirecto en Produccion),Lectura directa desde mapper,REPORTES,spiral,confirmado por codigo
colores_por_articulo,tabla,actualizacion,factory/Mapper.php,13648,Mapper::Stock (uso indirecto en Produccion),Filtro WHERE declarado en mapper,SOPORTE,spiral,confirmado por codigo
modulos_basicos,tabla,lectura,factory/Mapper.php,6315,Mapper::CurvaProduccionPorArticulo (uso indirecto en Produccion),Lectura directa desde mapper,SOPORTE,spiral,confirmado por codigo
modulos_basicos,tabla,insercion,factory/Mapper.php,6318,Mapper::CurvaProduccionPorArticulo (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,SOPORTE,spiral,inferido
modulos_basicos,tabla,actualizacion,factory/Mapper.php,6338,Mapper::CurvaProduccionPorArticulo (uso indirecto en Produccion),Filtro WHERE declarado en mapper,SOPORTE,spiral,confirmado por codigo
modulos_basicos,tabla,actualizacion,factory/Mapper.php,6345,Mapper::CurvaProduccionPorArticulo (uso indirecto en Produccion),Filtro WHERE declarado en mapper,SOPORTE,spiral,confirmado por codigo
REVISAR_MANUALMENTE_SP_DINAMICO,procedure,llamada,factory/Datos.php,124,Abstraccion de SP usada por Factory y modulo Produccion,CALL $name(...) dinamico,SOPORTE,spiral,revisar manualmente
REVISAR_MANUALMENTE_SP_DINAMICO,procedure,llamada,factory/Factory.php,123,Factory::getListFromStoredProcedure para Produccion,"Datos::EjecutarStoredProcedure($storedProcedureName, ...)",SOPORTE,spiral,revisar manualmente
Unidades_medida,tabla,lectura,factory/Mapper.php,14574,Mapper::UnidadDeMedida (uso indirecto en Produccion),Lectura directa desde mapper,SOPORTE,spiral,confirmado por codigo
Unidades_medida,tabla,insercion,factory/Mapper.php,14577,Mapper::UnidadDeMedida (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,SOPORTE,spiral,inferido
Unidades_medida,tabla,actualizacion,factory/Mapper.php,14585,Mapper::UnidadDeMedida (uso indirecto en Produccion),Filtro WHERE declarado en mapper,SOPORTE,spiral,confirmado por codigo
